"first_name","last_name","email","max","total_spending"
"Eleanor","Hunt","eleanor.hunt@sakilacustomer.org","1952 Pune Lane","211.55"
"Karl","Seal","karl.seal@sakilacustomer.org","1427 Tabuk Place","208.58"
"Marion","Snyder","marion.snyder@sakilacustomer.org","1891 Rizhao Boulevard","194.61"
"Rhonda","Kennedy","rhonda.kennedy@sakilacustomer.org","1749 Daxian Place","191.62"
"Clara","Shaw","clara.shaw@sakilacustomer.org","1027 Songkhla Manor","189.60"
"Tommy","Collazo","tommy.collazo@sakilacustomer.org","76 Kermanshah Manor","183.63"
"Ana","Bradley","ana.bradley@sakilacustomer.org","682 Garden Grove Place","167.67"
"Curtis","Irby","curtis.irby@sakilacustomer.org","432 Garden Grove Street","167.62"
"Marcia","Dean","marcia.dean@sakilacustomer.org","1479 Rustenburg Boulevard","166.61"
"Mike","Way","mike.way@sakilacustomer.org","990 Etawah Loop","162.67"
